Name,Type,Label,Description
b01-f01-r001,MQTT-ThermalSensor,Room 1 on Floor 1,Autogenerated MQTT-ThermalSensor node
b01-f01-r002,MQTT-ThermalSensor,Room 2 on Floor 1,Autogenerated MQTT-ThermalSensor node
b01-f01-r003,MQTT-ThermalSensor,Room 3 on Floor 1,Autogenerated MQTT-ThermalSensor node
b01-f01-r004,MQTT-ThermalSensor,Room 4 on Floor 1,Autogenerated MQTT-ThermalSensor node
b01-f01-r005,MQTT-ThermalSensor,Room 5 on Floor 1,Autogenerated MQTT-ThermalSensor node
b01-f01-r006,MQTT-ThermalSensor,Room 6 on Floor 1,Autogenerated MQTT-ThermalSensor node
b01-f01-r007,MQTT-ThermalSensor,Room 7 on Floor 1,Autogenerated MQTT-ThermalSensor node
b01-f01-r008,MQTT-ThermalSensor,Room 8 on Floor 1,Autogenerated MQTT-ThermalSensor node
b01-f01-r009,MQTT-ThermalSensor,Room 9 on Floor 1,Autogenerated MQTT-ThermalSensor node
b01-f01-r010,MQTT-ThermalSensor,Room 10 on Floor 1,Autogenerated MQTT-ThermalSensor node
b01-f01-r011,CoAP-ThermalSensor,Room 11 on Floor 1,Autogenerated CoAP-ThermalSensor node
b01-f01-r012,CoAP-ThermalSensor,Room 12 on Floor 1,Autogenerated CoAP-ThermalSensor node
b01-f01-r013,CoAP-ThermalSensor,Room 13 on Floor 1,Autogenerated CoAP-ThermalSensor node
b01-f01-r014,CoAP-ThermalSensor,Room 14 on Floor 1,Autogenerated CoAP-ThermalSensor node
b01-f01-r015,CoAP-ThermalSensor,Room 15 on Floor 1,Autogenerated CoAP-ThermalSensor node
b01-f01-r016,CoAP-ThermalSensor,Room 16 on Floor 1,Autogenerated CoAP-ThermalSensor node
b01-f01-r017,CoAP-ThermalSensor,Room 17 on Floor 1,Autogenerated CoAP-ThermalSensor node
b01-f01-r018,CoAP-ThermalSensor,Room 18 on Floor 1,Autogenerated CoAP-ThermalSensor node
b01-f01-r019,CoAP-ThermalSensor,Room 19 on Floor 1,Autogenerated CoAP-ThermalSensor node
b01-f01-r020,CoAP-ThermalSensor,Room 20 on Floor 1,Autogenerated CoAP-ThermalSensor node
b01-f02-r001,MQTT-ThermalSensor,Room 1 on Floor 2,Autogenerated MQTT-ThermalSensor node
b01-f02-r002,MQTT-ThermalSensor,Room 2 on Floor 2,Autogenerated MQTT-ThermalSensor node
b01-f02-r003,MQTT-ThermalSensor,Room 3 on Floor 2,Autogenerated MQTT-ThermalSensor node
b01-f02-r004,MQTT-ThermalSensor,Room 4 on Floor 2,Autogenerated MQTT-ThermalSensor node
b01-f02-r005,MQTT-ThermalSensor,Room 5 on Floor 2,Autogenerated MQTT-ThermalSensor node
b01-f02-r006,MQTT-ThermalSensor,Room 6 on Floor 2,Autogenerated MQTT-ThermalSensor node
